L1,L2,L3,MF,Dir
0.089285714,-0.7,-0.7,-0.361,d
0.459770115,0.459770115,0.459770115,0.436,u
0.00862069,0.00862069,0.00862069,-0.638,d
0.238095238,0.019354839,0.019354839,-0.018,d
0.469879518,0.232323232,0.232323232,-0.431,d
0.347593583,0.347593583,0.35106383,0.61,u
-0.37254902,-0.37254902,-0.457627119,0.543,u
0.888888889,0.888888889,0.891472868,-0.214,d
0.284210526,0.284210526,0.284210526,0.173,d
0.044117647,0.044117647,0.022556391,-0.076,d
0.722943723,0.731092437,0.731092437,0.004,u
0.18974359,0.213930348,0.217821782,0.008,d
0.447761194,0.447761194,0.447761194,0.6,u
-0.739130435,-0.734177215,-0.767741935,0.124,d
0.511363636,0.511363636,0.527472527,0.18,u
-0.862068966,-0.862068966,-0.588235294,-0.158,d
0.202247191,0.202247191,0.202247191,0.175,d
0.173913043,0.165467626,0.15942029,-0.034,u
-0.05952381,-0.05952381,-0.05952381,0.093,d
0.652173913,0.652173913,0.497536946,0.415,u
0,0.130434783,0.135371179,-0.49,d
0.026865672,0.026865672,0.029761905,0.145,u
0.248484848,0.248484848,0.248484848,0.1,d
0.874015748,0.882352941,0.886524823,0.061,u
0.131086142,0.118518519,0.111940299,-0.73,d
-0.170940171,-0.165957447,-0.179916318,-0.561,d
-0.082840237,-0.082840237,-0.082840237,-0.385,d
0.245762712,0.225,0.225,-0.099,d
0.036649215,0.148148148,0.178571429,0.52,u
-0.621621622,-0.595744681,-0.578947368,0.12,d
0.829787234,0.829787234,0.82010582,-0.025,u
-0.01734104,-0.01734104,0.122194514,0.451,u
0.33164557,0.335012594,0.343669251,0.676,u
0.551948052,0.551948052,0.512367491,0.408,u
-0.85840708,-0.851851852,-0.851851852,0.029,d
-0.12033195,-0.14893617,0.081081081,0.748,u
-0.92893401,-0.919191919,-0.919191919,-0.053,u
-0.648351648,-0.604938272,-0.604938272,-0.333,d
-0.236641221,-0.218045113,-0.218045113,0.1,u
-0.81443299,-0.81443299,-0.81443299,-0.603,d
0.275362319,0.285714286,0.5,-0.192,u
0.189655172,0.551020408,0.688888889,-0.051,d
-0.079646018,-0.070175439,0.256097561,0.753,u
0.897435897,0.213114754,0.174603175,0.564,u
0.888888889,0.902097902,0.915492958,-0.011,u
-0.909090909,-0.866666667,-0.866666667,-0.792,d
0.369127517,0.373333333,0.364864865,0.414,u
-0.927083333,-0.926701571,-0.957446809,-0.419,d
