L1,L2,L3,MF1,MF5,DIR
-0.3268,0.9265,0.8204,0.156,0.3072,U
0.8764,0.7094,0.234,0.6261,0.4194,D
0.5492,0.8327,0.9968,0.6565,0.8072,U
0.7399,0.4029,0.2231,0.6723,0.9148,D
-0.004,-0.6233,-0.6326,-0.0787,-0.0589,D
0.5648,0.516,0.5877,0.4223,0.3816,U
0.0081,0.6439,0.4636,-0.996,-0.5557,D
0.9638,0.1493,0.246,0.1663,0.1356,D
-0.9224,-0.4836,-0.5656,-0.3,-0.88,D
-0.5359,-0.598,-0.4122,-0.4616,-0.0403,D
0.0919,0.3119,0.6849,0.7969,0.8565,D
-0.1453,-0.1553,-0.9211,-0.8802,0.7053,U
-0.9255,-0.8772,-0.7859,-0.7762,-0.2865,D
0.5837,0.7772,0.9944,0.4036,0.5011,U
-0.967,-0.7283,-0.0569,0.4293,0.4227,U
-0.2011,0.6471,0.7956,0.3938,0.3171,U
-0.0318,-0.5285,-0.5961,-0.4216,-0.176,U
-0.785,-0.5569,-0.8978,0.9891,0.3937,U
0.9378,0.0841,0.14,-0.7485,-0.135,D
-0.2294,-0.7394,-0.1344,-0.1486,-0.3928,D
-0.2434,-0.5786,-0.8992,-0.1969,-0.9758,D
-0.5425,0.2022,0.4649,0.3837,0.6236,U
0.4253,0.234,0.0306,0.7732,0.7585,U
-0.2719,-0.7504,-0.0352,-0.7706,-0.1266,D
0.0893,0.5479,0.1582,0.0984,0.8201,U
-0.86,-0.3516,-0.4429,0.1614,0.6206,U
0.8777,0.568,0.4549,0.6632,0.8127,U
-0.8496,0.2437,0.1618,0.8936,0.7022,U
0.0818,0.9565,0.836,0.198,0.267,D
0.5523,0.1208,0.225,0.8831,0.8988,U
-0.6922,-0.9842,-0.0847,-0.2878,-0.246,D
-0.6097,0.541,0.7139,0.1714,0.4788,U
-0.1286,-0.0499,-0.5489,-0.8288,-0.5383,D
0.4633,0.2146,-0.4357,-0.1907,-0.6762,D
-0.7318,-0.617,-0.2133,-0.1055,-0.344,D
-0.4025,-0.8045,-0.8157,-0.5411,-0.6599,U
-0.9585,-0.3845,-0.2063,-0.8013,-0.6336,U
0.9849,0.0085,0.2438,0.7333,0.7765,D
-0.5117,-0.9172,-0.5045,0.4803,0.9752,U
0.3674,0.2399,0.9976,0.4782,0.6904,U
-0.1268,-0.2383,-0.4852,-0.3651,-0.5424,D
0.3911,0.2604,0.6195,0.8616,0.3154,D
-0.1082,-0.5512,-0.6502,-0.7935,-0.4662,D
0.9385,0.4851,0.072,0.9009,0.027,D
0.6446,0.8749,0.3718,0.457,0.8451,U
-0.4711,-0.2524,-0.56,-0.6556,-0.0532,U
0.5555,0.7808,0.9781,0.6872,0.0643,U
0.9212,0.2573,0.1556,-0.8902,-0.2542,D
-0.8746,-0.0109,-0.8313,-0.6322,-0.0668,D
0.8555,-0.5494,-0.714,-0.896,-0.8801,D
0.2034,0.2767,0.3552,0.0217,0.8168,U
0.3713,0.4443,0.1773,0.4292,0.0238,U
0.453,0.779,0.5538,0.8396,0.1314,U
-0.7349,-0.2434,-0.7069,-0.6463,-0.0458,D
-0.0086,0.1277,0.1721,0.9966,0.9245,U
-0.0938,-0.7335,-0.0585,-0.2981,-0.5977,D
0.1284,0.0907,0.844,0.0729,0.0046,D
-0.3234,-0.5272,-0.9442,-0.2589,-0.7072,D
0.5279,0.161,0.4302,-0.002,-0.2083,D
0.5215,0.653,0.1616,0.6586,0.5495,D
-0.4534,-0.7957,-0.5033,-0.5235,-0.8698,D
0.8394,0.4683,0.234,0.4738,0.6069,U
-0.9542,-0.2866,-0.5503,-0.404,-0.6065,D
0.3768,0.0499,0.562,0.3377,0.5079,D
-0.3738,-0.8997,-0.1525,-0.1599,0.8101,U
-0.2112,0.0363,0.4069,0.3148,0.0541,U
-0.0222,-0.4965,-0.0835,-0.5744,-0.7815,D
0.388,-0.692,-0.8387,-0.7804,-0.2005,D
-0.423,-0.0991,-0.8097,-0.9636,-0.974,D
0.5596,0.8024,0.1463,0.2065,-0.568,D
0.1388,0.0563,0.4874,0.4678,0.835,U
0.4536,0.2227,0.593,0.6162,0.5639,U
0.3479,0.7664,0.2802,0.2111,0.1404,D
-0.1076,0.3052,0.578,0.8436,0.7201,U
-0.4646,-0.4878,-0.8928,0.5822,0.7316,U
0.1154,0.5526,0.0948,0.3635,0.4542,D
0.7188,-0.6239,-0.5706,-0.8955,-0.7114,D
0.3156,0.5101,0.072,0.9358,0.4764,U
-0.7396,-0.5585,-0.023,-0.3857,-0.9166,D
-0.1116,-0.7922,-0.9942,-0.8391,-0.4432,D
-0.4996,-0.8725,-0.4333,-0.8875,-0.9252,D
0.7794,0.6737,0.1517,0.0966,0.2135,D
0.6758,0.0476,0.5765,0.2346,0.0299,U
-0.5762,0.2122,0.8092,0.9515,0.3562,U
-0.4412,-0.6536,-0.5019,-0.9127,-0.4096,D
-0.206,0.6754,0.6877,0.8477,0.2782,U
0.2543,0.0433,0.7915,0.4013,0.7881,D
-0.7576,-0.5507,-0.3504,-0.1448,-0.7869,D
0.7155,0.7076,0.8986,0.2906,0.6862,U
-0.6078,0.8541,0.9916,0.5154,0.3407,U
0.4198,0.0969,0.7665,0.0659,0.2648,U
-0.9366,-0.066,-0.2715,-0.4269,0.9587,U
-0.6521,-0.9707,-0.3291,-0.6381,-0.0754,D
-0.5497,-0.5082,-0.3751,-0.9482,-0.0911,U
-0.2409,-0.3566,-0.2804,-0.5708,-0.027,D
0.0478,0.6391,0.1915,0.3158,0.7737,D
0.0238,0.7659,0.4733,0.264,0.7115,U
0.9402,0.5564,0.3173,0.5377,0.8624,U
-0.881,0.3936,0.588,0.8061,0.4135,U
0.5008,0.9144,0.6173,0.3002,0.4435,U
0.54,0.8376,0.4449,0.3186,0.2718,D
0.1181,0.7738,0.1294,0.7445,0.542,D
0.8846,0.4017,0.3017,0.9946,0.5855,U
0.9272,0.9135,0.5705,0.6555,0.205,U
-0.4909,-0.8432,-0.1071,-0.1948,-0.9841,D
-0.9514,-0.1794,0.9871,0.5094,0.5662,U
-0.139,-0.1458,-0.2538,-0.9,-0.1606,U
-0.3494,-0.947,0.816,0.2229,0.1974,U
-0.3967,-0.4268,-0.2465,-0.6528,-0.0045,D
-0.813,-0.6973,-0.3261,-0.94,-0.0501,D
-0.8529,0.4126,0.5837,0.5807,0.0235,U
0.427,0.7418,0.716,0.9972,0.5608,D
-0.6245,-0.6856,-0.0384,-0.5485,-0.9724,U
-0.5328,-0.5817,-0.8173,-0.8616,-0.3107,D
0.0534,0.5361,0.4268,0.4128,0.1254,U
0.4875,0.1095,0.5814,0.466,0.1592,D
