L1,L2,L3,Dir
0.089285714,-0.7,-0.7,d
0.459770115,0.459770115,0.459770115,u
0.00862069,0.00862069,0.00862069,d
0.238095238,0.019354839,0.019354839,d
0.469879518,0.232323232,0.232323232,d
0.347593583,0.347593583,0.35106383,u
-0.37254902,-0.37254902,-0.457627119,u
0.888888889,0.888888889,0.891472868,d
0.284210526,0.284210526,0.284210526,d
0.044117647,0.044117647,0.022556391,d
0.722943723,0.731092437,0.731092437,u
0.18974359,0.213930348,0.217821782,d
0.447761194,0.447761194,0.447761194,u
-0.739130435,-0.734177215,-0.767741935,d
0.511363636,0.511363636,0.527472527,u
-0.862068966,-0.862068966,-0.588235294,d
0.202247191,0.202247191,0.202247191,d
0.173913043,0.165467626,0.15942029,u
-0.05952381,-0.05952381,-0.05952381,d
0.652173913,0.652173913,0.497536946,u
0,0.130434783,0.135371179,d
0.026865672,0.026865672,0.029761905,u
0.248484848,0.248484848,0.248484848,d
0.874015748,0.882352941,0.886524823,u
0.131086142,0.118518519,0.111940299,d
-0.170940171,-0.165957447,-0.179916318,d
-0.082840237,-0.082840237,-0.082840237,d
0.245762712,0.225,0.225,d
0.036649215,0.148148148,0.178571429,u
-0.621621622,-0.595744681,-0.578947368,d
0.829787234,0.829787234,0.82010582,u
-0.01734104,-0.01734104,0.122194514,u
0.33164557,0.335012594,0.343669251,u
0.551948052,0.551948052,0.512367491,u
-0.85840708,-0.851851852,-0.851851852,d
-0.12033195,-0.14893617,0.081081081,u
-0.92893401,-0.919191919,-0.919191919,u
-0.648351648,-0.604938272,-0.604938272,d
-0.236641221,-0.218045113,-0.218045113,u
-0.81443299,-0.81443299,-0.81443299,d
0.275362319,0.285714286,0.5,u
0.189655172,0.551020408,0.688888889,d
-0.079646018,-0.070175439,0.256097561,u
0.897435897,0.213114754,0.174603175,u
0.888888889,0.902097902,0.915492958,u
-0.909090909,-0.866666667,-0.866666667,d
0.369127517,0.373333333,0.364864865,u
-0.927083333,-0.926701571,-0.957446809,d
0.666666667,0.652892562,0.62601626,u
-0.34502924,-0.34502924,-0.34502924,d
0.816666667,0.816666667,0.816666667,u
0.439393939,0.366906475,0.357142857,u
-0.833333333,-0.830508475,-0.830508475,d
-0.038461538,-0.043062201,-0.044776119,u
0.404580153,0.4375,0.4375,d
-0.266666667,-0.24137931,-0.24137931,u
-0.948275862,-0.948275862,-0.948275862,d
0.478632479,0.30075188,0.295454545,d
0.577464789,0.6,0.6,u
0.471698113,0.469135802,0.515923567,u
-0.40952381,-0.40952381,-0.40952381,d
-0.939914163,-0.940677966,-0.94893617,d
0.236499069,0.241121495,0.241121495,u
0.111111111,0,0,u
-0.03630363,0.020979021,0.020979021,d
0.883561644,0.883561644,0.86440678,u
0.063291139,0.065656566,0.065656566,d
0.586206897,0.586206897,0.586206897,u
-0.987341772,-0.974842767,-0.974842767,d
-0.917159763,-0.917159763,-0.894736842,d
0.703470032,0.719745223,0.708860759,d
-0.0875,0.011363636,0.011363636,u
-0.563218391,-0.563218391,-0.561538462,d
0.290102389,0.290102389,0.290102389,u
-0.692307692,-0.65,-0.62962963,d
0.368421053,0.303225806,0.355223881,u
-0.052631579,-0.818181818,-0.818181818,d
0.498371336,0.488673139,0.4910859,u
-0.103448276,-0.084745763,-0.084745763,d
0.63016158,0.628158845,0.628158845,u
0.995867769,0.995867769,0.991752577,u
-0.899371069,-0.819277108,-0.973856209,d
0.986984816,0.986984816,0.986984816,u
0.543918919,0.543918919,0.543918919,u
-0.888888889,-0.877300613,-0.879518072,d
-0.72,-0.653846154,-0.653846154,d
0.792035398,0.792035398,0.792035398,u
-0.065420561,0.167883212,0.167883212,u
-0.95,-0.902439024,-0.902439024,d
-0.246478873,-0.255319149,-0.255319149,d
0.683760684,0.683760684,0.68172043,d
0.090909091,0.095057034,0.090909091,d
0.740112994,0.740112994,0.740112994,d
0.916129032,0.916129032,0.885714286,u
-0.037463977,-0.037463977,-0.037463977,d
-0.196721311,-0.196721311,-0.188405797,d
0.41958042,0.424561404,0.684647303,u
-0.703389831,-0.703389831,-0.710638298,d
0.430927835,0.273684211,0.273684211,d
0.794478528,0.794478528,0.86009539,u
0.705785124,0.698815567,0.707482993,d
-0.257142857,-0.257142857,-0.543859649,d
0.45177665,0.45177665,0.434554974,u
0,0,0,d
0.726235741,0.728813559,0.729323308,u
0.721611722,0.722120658,0.722120658,u
-0.86407767,-0.86407767,-0.86407767,d
0.843809524,0.802607076,0.843809524,u
-0.886075949,-0.886075949,-0.850931677,d
0.729636049,0.729636049,0.729636049,u
0.639240506,0.631496063,0.631496063,d
0.594202899,0.594202899,0.594202899,d
0.31372549,0.31372549,0.31372549,d
0.815384615,0.84496124,0.84496124,u
0.474747475,0.474747475,0.477386935,u
0.829228243,0.826377295,0.826377295,u
0.880085653,0.832985386,0.880085653,d
0.973451327,0.973333333,0.973273942,u
0.022727273,0.022727273,0.075268817,d
0.442996743,0.442996743,0.430948419,d
0.431610942,0.43419062,0.435045317,d
0.944262295,0.943894389,0.943894389,d
0.477031802,0.475177305,0.473309609,d
0.914712154,0.914712154,0.914712154,d
