code,language,region,quoteType,triggerable,currency,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,priceHint,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,firstTradeDateMilliseconds,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,price,dividendDate
0001.HK,en-US,US,EQUITY,False,HKD,3856240128.0,123.617,56.044285,0.055713654,0.0009941006,66.10352,-10.003525,-0.15133119,216335073280.0,5.189639,0.45382106,15,0,False,3,HKG,CKH HOLDINGS,CK Hutchison Holdings Limited,finmb_411322,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.5999985,1.0810783,1589789320,56.1,56.35,55.6 - 56.35,55.6,946949400000.0,7072180.0,55.5,56.1,56.15,0.0,0.0,HKSE,HKD,55.7,8965603.0,6807711.0,11.049999,0.24528301,45.05 - 78.85,-22.75,-0.2885225,45.05,78.85,1584629940.0,1596121140.0,1596470400.0,3.17,5.430784,0.05711712,PREPRE,10.33,10.81,56.1,
0002.HK,en-US,US,EQUITY,False,HKD,2526449920.0,43.279,79.52857,-0.028572083,-0.00035926813,80.432045,-0.932045,-0.011587981,200852766720.0,15.649607,1.8369186,15,0,False,3,HKG,CLP HOLDINGS,CLP Holdings Limited,finmb_414732,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.6500015,0.82435197,1589789320,79.5,80.25,78.9 - 80.25,78.9,946949400000.0,3602798.0,78.85,79.5,79.6,0.0,0.0,HKSE,HKD,78.9,4656675.0,2968713.0,14.5,0.22307692,65.0 - 92.95,-13.449997,-0.14470142,65.0,92.95,1596466740.0,1596466740.0,1596466740.0,3.08,43.20652,0.03906151,PREPRE,1.84,5.08,79.5,
0003.HK,en-US,US,EQUITY,False,HKD,16925100032.0,3.935,13.716572,-0.05657196,-0.0041243513,14.671549,-1.011549,-0.0689463,231196868608.0,22.032257,3.4714105,15,0,False,3,HKG,HK & CHINA GAS,The Hong Kong and China Gas Company Limited,finmb_410316,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.03999996,0.29368547,1589789320,13.66,13.7,13.58 - 13.7,13.58,946949400000.0,8148733.0,13.62,13.64,13.66,0.0,0.0,HKSE,HKD,13.6,25628759.0,13407219.0,1.9200001,0.16354345,11.74 - 18.0364,-4.3764,-0.24264266,11.74,18.0364,1584629940.0,1597762740.0,1598284800.0,0.35,33.15534,0.025697503,PREPRE,0.412,0.62,13.66,
0004.HK,en-US,US,EQUITY,False,HKD,3049430016.0,46.856,14.237143,-0.3771429,-0.02649007,17.507887,-3.6478872,-0.2083568,42265100288.0,5.521912,0.2957999,15,0,False,3,HKG,WHARF HOLDINGS,Wharf (Holdings) Limited,finmb_874080,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.15999985,1.1678821,1589789320,13.86,13.86,13.54 - 13.86,13.54,946949400000.0,2757000.0,13.7,13.84,13.86,0.0,0.0,HKSE,HKD,13.64,5450081.0,4017225.0,1.8199997,0.15116276,12.04 - 22.75,-8.89,-0.39076924,12.04,22.75,1583852340.0,1596725940.0,1597075200.0,0.325,12.486486,0.023722626,PREPRE,1.11,2.51,13.86,
0005.HK,en-US,US,EQUITY,False,HKD,20365199360.0,9.413,39.825714,-1.6257133,-0.040820695,52.51796,-14.317959,-0.27262977,777950658560.0,57.014927,4.0582175,15,0,False,3,HKG,HSBC HOLDINGS,HSBC Holdings plc,finmb_382645,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.10000229,0.2624732,1589789320,38.2,38.2,37.8 - 38.2,37.8,946863000000.0,25621993.0,38.1,38.15,38.2,0.0,0.0,HKSE,USD,38.0,51570884.0,31082179.0,0.6000023,0.015957508,37.6 - 65.8,-27.600002,-0.4194529,37.6,65.8,,,,0.2,16.35204,0.0052493443,PREPRE,2.3361,0.67,38.2,
0006.HK,en-US,US,EQUITY,False,HKD,2134259968.0,40.057,50.244286,-2.594284,-0.051633414,54.15211,-6.5021095,-0.12007121,101697486848.0,13.054794,1.1895549,15,0,False,3,HKG,POWER ASSETS,Power Assets Holdings Limited,finmb_874011,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.76999664,-1.5902451,1589789320,47.65,48.4,47.65 - 48.4,47.65,946949400000.0,3098968.0,48.42,47.6,47.65,0.0,0.0,HKSE,HKD,48.35,4004706.0,3138572.0,6.050003,0.14543277,41.6 - 58.5,-10.849998,-0.18547006,41.6,58.5,1584543540.0,1596034740.0,1596470400.0,2.8,14.266468,0.057827346,PREPRE,3.34,3.65,47.65,
0007.HK,en-US,US,EQUITY,False,HKD,4000000000.0,0.913,0.772,-0.032000005,-0.041450784,0.80647886,-0.06647885,-0.08243099,2960000000.0,,0.8105148,15,0,False,3,HKG,HK FINANCE INV,Hong Kong Finance Investment Holding Group Limited,finmb_7658133,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.0,0.0,1589788796,0.74,0.74,0.71 - 0.74,0.71,968635800000.0,224000.0,0.74,0.72,0.74,0.0,0.0,HKSE,HKD,0.71,3291531.0,1293000.0,0.09000003,0.13846159,0.65 - 0.98,-0.24000001,-0.24489796,0.65,0.98,1553957940.0,1553957940.0,1553957940.0,,,,PREPRE,-0.0225,,0.74,
0008.HK,en-US,US,EQUITY,False,HKD,7729639936.0,2.014,4.584,-0.10400009,-0.022687629,4.6235213,-0.14352131,-0.031041559,34628788224.0,18.666668,2.2244291,15,0,False,3,HKG,PCCW,PCCW Limited,finmb_107195,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.05000019,1.1286725,1589789320,4.48,4.48,4.43 - 4.48,4.43,1041989400000.0,5809005.0,4.43,4.47,4.48,0.0,0.0,HKSE,HKD,4.45,11664083.0,7952844.0,0.6300001,0.1636364,3.85 - 4.83,-0.3499999,-0.07246375,3.85,4.83,1581609540.0,1596725940.0,1597075200.0,0.322,50.73613,0.07268623,PREPRE,0.0883,0.24,4.48,
0009.HK,en-US,US,EQUITY,False,HKD,3568790016.0,0.195,0.110371426,-0.024371423,-0.2208128,0.12476056,-0.038760558,-0.31067958,306915936.0,,0.44102567,15,0,False,3,HKG,KEYNE LTD,Keyne Ltd,finmb_7658161,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.007999994,-8.5106325,1589789320,0.086,0.089,0.086 - 0.089,0.086,1000258200000.0,1794000.0,0.094,0.086,0.089,0.0,0.0,HKSE,HKD,0.087,316660.0,371133.0,0.001000002,0.011764729,0.085 - 0.235,-0.14899999,-0.6340425,0.085,0.235,1553785140.0,1553785140.0,1553785140.0,,,,PREPRE,-0.081,,0.086,
0010.HK,en-US,US,EQUITY,False,HKD,1362000000.0,67.048,16.913143,-0.8931427,-0.05280761,18.750563,-2.7305622,-0.14562562,21819240448.0,,0.23893332,15,0,False,3,HKG,HANG LUNG GROUP,Hang Lung Group Limited,finmb_874492,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.10000038,-0.6203497,1589789320,16.02,16.32,16.0 - 16.32,16.0,946949400000.0,723000.0,16.12,16.02,16.06,0.0,0.0,HKSE,HKD,16.0,1545922.0,995172.0,2.0,0.14265335,14.02 - 22.65,-6.629999,-0.2927152,14.02,22.65,1579622340.0,1595948340.0,1596470400.0,0.82,3.1976047,0.050868485,PREPRE,5.01,,16.02,
