stockA,stockB,corr,sector_A,sector_B,sameSector
XINYI SOLAR,FLAT GLASS,0.986801473,Photovoltaic Solar,Glass strands,FALSE
MEIDONG AUTO,MEITUAN-W,0.981319539,Auto sales,E-commerce and Internet,FALSE
ZIJIN MINING,MAN WAH HLDGS,0.976941674,Precious metals,Housewares,FALSE
ZHONGSHENG HLDG,TENCENT,0.973715699,Auto sales,Online and Mobile Games,FALSE
XINYI GLASS,XINYI SOLAR,0.97329109,Glass strands,Photovoltaic Solar,FALSE
ZHONGSHENG HLDG,MEITUAN-W,0.973142862,Auto sales,E-commerce and Internet,FALSE
MAN WAH HLDGS,XIAOMI-W,0.969718979,Housewares,Telecommunications Equipment,FALSE
YIHAI INTL,CG SERVICES,0.968768468,Food and beverage Production and Wholesale,Property Management and Agent,FALSE
TECHTRONIC IND,MEITUAN-W,0.968416907,Machinery,E-commerce and Internet,FALSE
XINYI SOLAR,GREATWALL MOTOR,0.967858579,Photovoltaic Solar,Automobile,FALSE
XINYI SOLAR,WUXI BIO,0.967565995,Photovoltaic Solar,Biotechnology,FALSE
WUXI APPTEC,PHARMARON,0.967106354,Healthcare,Biotechnology,FALSE
MENGNIU DAIRY,ZIJIN MINING,0.967066847,Dairy related,Precious metals,FALSE
MENGNIU DAIRY,MAN WAH HLDGS,0.966671311,Dairy related,Housewares,FALSE
WUXI BIO,MAN WAH HLDGS,0.966552307,Biotechnology,Housewares,FALSE
XIAOMI-W,XINYI GLASS,0.965877792,Telecommunications Equipment,Glass strands,FALSE
XINYI GLASS,FLAT GLASS,0.965540743,Glass strands,Glass strands,TRUE
TENCENT,MEITUAN-W,0.963576251,Online and Mobile Games,E-commerce and Internet,FALSE
LI NING,XINYI GLASS,0.963567159,Sporting Goods,Glass strands,FALSE
WUXI BIO,XIAOMI-W,0.963405116,Biotechnology,Telecommunications Equipment,FALSE
LI NING,WUXI BIO,0.963319441,Sporting Goods,Biotechnology,FALSE
KINGDEE INT'L,CHINA YOUZAN,0.963153944,Technology and Software,E-commerce and Internet,FALSE
WUXI APPTEC,KINGDEE INT'L,0.963019854,Healthcare,Technology and Software,FALSE
MEITUAN-W,PHARMARON,0.962855011,E-commerce and Internet,Biotechnology,FALSE
XINYI GLASS,GREATWALL MOTOR,0.962672904,Glass strands,Automobile,FALSE
XIAOMI-W,ZIJIN MINING,0.962244809,Telecommunications Equipment,Precious metals,FALSE
HKTV,BYD ELECTRONIC,0.961994905,Film and TV,Mobile phone related,FALSE
WUXI BIO,PHARMARON,0.960931929,Biotechnology,Biotechnology,TRUE
MEIDONG AUTO,ZHONGSHENG HLDG,0.959991171,Auto sales,Auto sales,TRUE
MAN WAH HLDGS,XINYI SOLAR,0.959882051,Housewares,Photovoltaic Solar,FALSE
CITIC BANK,PICC P&C,0.959138077,small and medium China banks,China Insurance,FALSE
