,stockA,stockB,corr,sector_A,sector_B,sameSector
0,福萊特玻璃,信義光能,0.9868014766163311,玻璃股,光伏太陽能,False
1,美東汽車,美團點評-W,0.9813195431406291,汽車銷售,電子商貿及互聯網,False
2,敏華控股,紫金礦業,0.9746487951055676,家品,貴金屬,False
3,騰訊控股,中升控股,0.9737156911860648,網遊及手遊,汽車銷售,False
4,信義玻璃,信義光能,0.9732910815926754,玻璃股,光伏太陽能,False
5,中升控股,美團點評-W,0.9731428625441483,汽車銷售,電子商貿及互聯網,False
6,小米集團-W,敏華控股,0.9697189778554662,電訊設備,家品,False
7,頤海國際,碧桂園服務,0.9687684666048162,食物飲品生產及批發,物業管理及代理,False
8,美團點評-W,創科實業,0.9684168978648797,電子商貿及互聯網,機械設備,False
9,長城汽車,信義光能,0.9678585723887863,汽車,光伏太陽能,False
10,信義光能,藥明生物,0.9675659929599353,光伏太陽能,生物科技,False
11,康龍化成,藥明康德,0.9671557432652905,生物科技,醫療保健,False
12,蒙牛乳業,敏華控股,0.9666713042866751,乳品相關,家品,False
13,藥明生物,敏華控股,0.9665523116767142,生物科技,家品,False
14,信義玻璃,小米集團-W,0.9658777876219998,玻璃股,電訊設備,False
15,信義玻璃,福萊特玻璃,0.9655407360906326,玻璃股,玻璃股,True
16,紫金礦業,蒙牛乳業,0.9651136942337294,貴金屬,乳品相關,False
17,美團點評-W,騰訊控股,0.9635762507797371,電子商貿及互聯網,網遊及手遊,False
18,李寧,信義玻璃,0.9635671594697712,體育用品,玻璃股,False
19,小米集團-W,藥明生物,0.963405116431215,電訊設備,生物科技,False
20,李寧,藥明生物,0.9633194463112106,體育用品,生物科技,False
21,中國有贊,金蝶國際,0.9631539436927415,電子商貿及互聯網,科技軟件,False
22,藥明康德,金蝶國際,0.9630198516390719,醫療保健,科技軟件,False
23,康龍化成,美團點評-W,0.962956722326326,生物科技,電子商貿及互聯網,False
24,長城汽車,信義玻璃,0.9626728977973478,汽車,玻璃股,False
25,比亞迪電子,香港電視,0.9619949054620335,手機相關,影視娛樂,False
26,紫金礦業,小米集團-W,0.9612567566758848,貴金屬,電訊設備,False
27,康龍化成,藥明生物,0.9608454917327932,生物科技,生物科技,True
28,美東汽車,中升控股,0.9599911844141253,汽車銷售,汽車銷售,True
29,信義光能,敏華控股,0.9598820480192277,光伏太陽能,家品,False
30,中國財險,中信銀行,0.9591380624561536,內地保險,中小內銀,False
31,紫金礦業,信義玻璃,0.958518664547492,貴金屬,玻璃股,False
32,創科實業,美東汽車,0.957322124226103,機械設備,汽車銷售,False
33,中國銀行,工商銀行,0.9572659765370135,國有內銀,國有內銀,True
34,恒生銀行,滙豐控股,0.9572511790642351,銀行,銀行,True
35,康龍化成,金蝶國際,0.9568109878767925,生物科技,科技軟件,False
36,敏華控股,信義玻璃,0.956701148424307,家品,玻璃股,False
37,中信銀行,中國銀行,0.9566694160649033,中小內銀,國有內銀,False
38,吉利汽車,紫金礦業,0.9564609036520747,汽車,貴金屬,False
39,信義玻璃,藥明生物,0.9556232322428473,玻璃股,生物科技,False
40,比亞迪股份,李寧,0.9553078161102827,汽車,體育用品,False
41,信義光能,小米集團-W,0.9551173639490523,光伏太陽能,電訊設備,False
42,信義光能,比亞迪股份,0.9550614784802016,光伏太陽能,汽車,False
43,藥明康德,中國有贊,0.9548986085254754,醫療保健,電子商貿及互聯網,False
44,青島啤酒,香港交易所,0.9548193615222071,酒類飲品,其他金融服務,False
45,康龍化成,美東汽車,0.9547552539980804,生物科技,汽車銷售,False
46,香港交易所,美團點評-W,0.9545141372225591,其他金融服務,電子商貿及互聯網,False
47,美蘭空港,恒大健康,0.9543639520911825,航空服務,媒體娛樂及文化出版,False
48,中國軟件國際,紫金礦業,0.9539903328675851,科技軟件,貴金屬,False
49,香港交易所,騰訊控股,0.9539330443267461,其他金融服務,網遊及手遊,False
50,藥明生物,比亞迪股份,0.9535839252898091,生物科技,汽車,False
51,中信建投証券,天能動力,0.9525559585378206,其他金融服務,電池股,False
52,比亞迪股份,長城汽車,0.9522741292885258,汽車,汽車,True
53,長城汽車,紫金礦業,0.9522506002729676,汽車,貴金屬,False
54,微創醫療,天能動力,0.9521791844175702,醫療保健,電池股,False
55,海底撈,比亞迪電子,0.9520896962873839,餐飲,手機相關,False
56,信義光能,李寧,0.9517513199096689,光伏太陽能,體育用品,False
57,紫金礦業,藥明生物,0.9513443166860077,貴金屬,生物科技,False
58,藥明生物,金蝶國際,0.9512786537737472,生物科技,科技軟件,False
59,李寧,安踏體育,0.9511522827736165,體育用品,體育用品,True
60,碧桂園服務,永升生活服務,0.951113206528613,物業管理及代理,物業管理及代理,True
61,藥明康德,騰訊控股,0.950549109317942,醫療保健,網遊及手遊,False
62,中國軟件國際,吉利汽車,0.950322809711762,科技軟件,汽車,False
63,華寶國際,中國有贊,0.950271247826675,食物飲品生產及批發,電子商貿及互聯網,False
64,香港交易所,中升控股,0.94993861533459,其他金融服務,汽車銷售,False
65,福萊特玻璃,藥明生物,0.9499322931249327,玻璃股,生物科技,False
66,康龍化成,創科實業,0.9499291936479876,生物科技,機械設備,False
67,青島啤酒,華潤啤酒,0.94966084530396,酒類飲品,超市股,False
68,香港交易所,創科實業,0.9494562499227729,其他金融服務,機械設備,False
69,香港交易所,藥明康德,0.9494268295836448,其他金融服務,醫療保健,False
70,中國有贊,香港交易所,0.9491803279037073,電子商貿及互聯網,其他金融服務,False
71,金蝶國際,美團點評-W,0.9490456285413933,科技軟件,電子商貿及互聯網,False
72,福耀玻璃,紫金礦業,0.9487699583475137,汽車零部件及維護,貴金屬,False
73,金山軟件,香港交易所,0.9486780636019313,科技軟件,其他金融服務,False
74,騰訊控股,康龍化成,0.9485248040335285,網遊及手遊,生物科技,False
75,中國石油股份,中海油,0.948345201842372,石油及天然氣,石油及天然氣,True
76,中升控股,金蝶國際,0.9483301898023608,汽車銷售,科技軟件,False
77,小米集團-W,李寧,0.9482472838547582,電訊設備,體育用品,False
78,創科實業,比亞迪電子,0.9480540113235324,機械設備,手機相關,False
79,藥明生物,長城汽車,0.9480432729455343,生物科技,汽車,False
80,小米集團-W,蒙牛乳業,0.9479915447416875,電訊設備,乳品相關,False
81,國藥控股,中國石油股份,0.9476565328182358,醫藥股,石油及天然氣,False
82,信義玻璃,比亞迪股份,0.9475447852361564,玻璃股,汽車,False
83,騰訊控股,金蝶國際,0.9474189136249316,網遊及手遊,科技軟件,False
84,長城汽車,福萊特玻璃,0.9474010569623985,汽車,玻璃股,False
85,金山軟件,騰訊控股,0.9472079530314644,科技軟件,網遊及手遊,False
86,紫金礦業,比亞迪股份,0.947126783109763,貴金屬,汽車,False
87,信義玻璃,蒙牛乳業,0.9470341674742359,玻璃股,乳品相關,False
88,福萊特玻璃,比亞迪股份,0.9470097231934609,玻璃股,汽車,False
89,長城汽車,小米集團-W,0.9466467870817485,汽車,電訊設備,False
90,威高股份,天能動力,0.9466276352585505,醫療保健,電池股,False
91,安踏體育,招商銀行,0.9465242497861317,體育用品,中小內銀,False
92,國藥控股,中海油,0.9464941358730492,醫藥股,石油及天然氣,False
93,中國財險,中國銀行,0.9460872618052817,內地保險,國有內銀,False
94,騰訊控股,美東汽車,0.9460722643265638,網遊及手遊,汽車銷售,False
95,長城汽車,李寧,0.946051401703607,汽車,體育用品,False
96,信義光能,紫金礦業,0.9453137145392303,光伏太陽能,貴金屬,False
97,長和,恒生銀行,0.9453124191011774,綜合企業,銀行,False
98,中國人民保險集團,中國太平,0.9452488998467566,內地保險,內地保險,True
99,金蝶國際,敏華控股,0.9451940577736391,科技軟件,家品,False
100,李寧,敏華控股,0.9451294178034398,體育用品,家品,False
101,微創醫療,微盟集團,0.9451280465270545,醫療保健,廣告,False
102,中國聯通,中國電信,0.9450833950820869,中資電訊,中資電訊,True
103,永利澳門,金沙中國有限公司,0.9446526324694835,澳門博彩,澳門博彩,True
104,比亞迪電子,美東汽車,0.9446517848302356,手機相關,汽車銷售,False
105,騰訊控股,中國有贊,0.944481555597726,網遊及手遊,電子商貿及互聯網,False
106,康龍化成,中國有贊,0.9443889660911066,生物科技,電子商貿及互聯網,False
107,中升控股,青島啤酒,0.9435720917193406,汽車銷售,酒類飲品,False
108,美團點評-W,敏華控股,0.9432655721225821,電子商貿及互聯網,家品,False
109,紫金礦業,安踏體育,0.9431994826254511,貴金屬,體育用品,False
110,北京控股,中信銀行,0.9430292316156281,燃氣公用,中小內銀,False
111,福耀玻璃,信義玻璃,0.9427434855785756,汽車零部件及維護,玻璃股,False
112,美東汽車,金蝶國際,0.9425363478483274,汽車銷售,科技軟件,False
113,微盟集團,天能動力,0.9425259613961261,廣告,電池股,False
114,安踏體育,敏華控股,0.9417716162779382,體育用品,家品,False
115,吉利汽車,福耀玻璃,0.9414697721380235,汽車,汽車零部件及維護,False
116,中升控股,康龍化成,0.9413261458177549,汽車銷售,生物科技,False
117,中升控股,閱文集團,0.9408817996855339,汽車銷售,電子商貿及互聯網,False
118,藥明生物,美團點評-W,0.9408470797263961,生物科技,電子商貿及互聯網,False
119,美團點評-W,中國有贊,0.940769465659127,電子商貿及互聯網,電子商貿及互聯網,True
120,中石化,中國石油股份,0.9406297754624413,石油及天然氣,石油及天然氣,True
121,中國海外發展,中國金茂,0.9406297133723679,內房,地產發展,False
122,福耀玻璃,安踏體育,0.9404581511067259,汽車零部件及維護,體育用品,False
123,國藥控股,永利澳門,0.9403700426464976,醫藥股,澳門博彩,False
124,比亞迪股份,敏華控股,0.9394834995970508,汽車,家品,False
125,李寧,福萊特玻璃,0.939322030533961,體育用品,玻璃股,False
126,微盟集團,香港交易所,0.939121350886904,廣告,其他金融服務,False
127,信義光能,蒙牛乳業,0.9389543016006634,光伏太陽能,乳品相關,False
128,威高股份,維亞生物,0.9387641575187392,醫療保健,生物科技,False
129,中升控股,創科實業,0.9387264279284357,汽車銷售,機械設備,False
130,金山軟件,藥明康德,0.9385475278520414,科技軟件,醫療保健,False
131,敏華控股,華潤啤酒,0.9384548062453638,家品,超市股,False
132,美東汽車,香港電視,0.9376736698709013,汽車銷售,影視娛樂,False
133,美團點評-W,藥明康德,0.9376195797439493,電子商貿及互聯網,醫療保健,False
134,海底撈,香港電視,0.9375777660064963,餐飲,影視娛樂,False
135,敏華控股,長城汽車,0.937523220780627,家品,汽車,False
136,紫金礦業,李寧,0.9371235259772537,貴金屬,體育用品,False
137,永升生活服務,微盟集團,0.9370521965254802,物業管理及代理,廣告,False
138,金山軟件,微盟集團,0.9368492217183891,科技軟件,廣告,False
139,藥明康德,藥明生物,0.9368252975488839,醫療保健,生物科技,False
140,美蘭空港,碧桂園服務,0.9365774310102869,航空服務,物業管理及代理,False
141,贛鋒鋰業,長城汽車,0.9361119709812218,有色金屬及礦石,汽車,False
142,藥明生物,蒙牛乳業,0.936010918337613,生物科技,乳品相關,False
143,藥明生物,美東汽車,0.9359814551257797,生物科技,汽車銷售,False
144,香港交易所,康龍化成,0.9356791104157514,其他金融服務,生物科技,False
145,微盟集團,維亞生物,0.9356523768287648,廣告,生物科技,False
146,九龍倉集團,九龍倉置業,0.9352609011028609,綜合企業,地產投資,False
147,中國財險,北京控股,0.9351293206493606,內地保險,燃氣公用,False
148,維亞生物,天能動力,0.9350965814610692,生物科技,電池股,False
149,青島啤酒,金蝶國際,0.9350103623832451,酒類飲品,科技軟件,False
150,永達汽車,安踏體育,0.9348375137158366,汽車銷售,體育用品,False
151,藥明康德,中升控股,0.9346359575107177,醫療保健,汽車銷售,False
152,金蝶國際,香港交易所,0.9345945024813997,科技軟件,其他金融服務,False
153,金蝶國際,華寶國際,0.9343398308605679,科技軟件,食物飲品生產及批發,False
154,華潤啤酒,華虹半導體,0.9343260059931433,超市股,半導體,False
155,創科實業,敏華控股,0.9339698216724844,機械設備,家品,False
156,永升生活服務,微創醫療,0.9338544072303063,物業管理及代理,醫療保健,False
157,中國有贊,美東汽車,0.9335904308160342,電子商貿及互聯網,汽車銷售,False
158,創科實業,恒騰網絡,0.9334114576011506,機械設備,光伏太陽能,False
159,光大證券,中信証券,0.9329617144544282,其他金融服務,中資證券及融資,False
160,永升生活服務,頤海國際,0.9327986620268054,物業管理及代理,食物飲品生產及批發,False
161,中聯重科,華寶國際,0.9327575771958004,機械設備,食物飲品生產及批發,False
162,比亞迪股份,小米集團-W,0.9327164137868509,汽車,電訊設備,False
163,招商銀行,福耀玻璃,0.9326134794588443,中小內銀,汽車零部件及維護,False
164,美團點評-W,比亞迪電子,0.932402180513486,電子商貿及互聯網,手機相關,False
165,康龍化成,敏華控股,0.932115103052744,生物科技,家品,False
166,中海油,永利澳門,0.9320772749820518,石油及天然氣,澳門博彩,False
167,敏華控股,藥明康德,0.9320406695926219,家品,醫療保健,False
168,香港交易所,恒大健康,0.9318624443202411,其他金融服務,媒體娛樂及文化出版,False
169,福萊特玻璃,小米集團-W,0.9316647094934197,玻璃股,電訊設備,False
170,信義玻璃,申洲國際,0.9315608579162065,玻璃股,紡織製衣,False
171,中國軟件國際,福耀玻璃,0.9311775634993785,科技軟件,汽車零部件及維護,False
172,騰訊控股,閱文集團,0.9310028166289215,網遊及手遊,電子商貿及互聯網,False
173,比亞迪股份,福耀玻璃,0.9309250594639356,汽車,汽車零部件及維護,False
174,蒙牛乳業,香港交易所,0.930889846939795,乳品相關,其他金融服務,False
175,香港交易所,美東汽車,0.9307569521292135,其他金融服務,汽車銷售,False
176,李寧,海底撈,0.9304051846879358,體育用品,餐飲,False
177,比亞迪電子,信義玻璃,0.930054304881819,手機相關,玻璃股,False
178,頤海國際,美蘭空港,0.9297304685346489,食物飲品生產及批發,航空服務,False
179,中信銀行,工商銀行,0.9297238063186865,中小內銀,國有內銀,False
180,申洲國際,ESR,0.929585532856629,紡織製衣,投資及資產管理,False
181,信達生物,康龍化成,0.9295209907854539,醫藥股,生物科技,False
182,國藥控股,長和,0.9291181793797756,醫藥股,綜合企業,False
183,青島啤酒,騰訊控股,0.9288807399822174,酒類飲品,網遊及手遊,False
184,招商銀行,吉利汽車,0.9286239159318121,中小內銀,汽車,False
185,小米集團-W,海底撈,0.928387871332616,電訊設備,餐飲,False
186,青島啤酒,華寶國際,0.9282145834982468,酒類飲品,食物飲品生產及批發,False
187,創科實業,騰訊控股,0.9282127135625031,機械設備,網遊及手遊,False
188,紫金礦業,贛鋒鋰業,0.9279296650223727,貴金屬,有色金屬及礦石,False
189,華潤啤酒,華寶國際,0.9278042668076334,超市股,食物飲品生產及批發,False
190,海底撈,創科實業,0.9275982754306026,餐飲,機械設備,False
191,華虹半導體,華寶國際,0.9275265262700166,半導體,食物飲品生產及批發,False
192,蒙牛乳業,吉利汽車,0.92750221878637,乳品相關,汽車,False
193,蒙牛乳業,華潤啤酒,0.9272148515748528,乳品相關,超市股,False
194,永達汽車,比亞迪股份,0.9270905589922234,汽車銷售,汽車,False
195,比亞迪股份,安踏體育,0.9270597897859797,汽車,體育用品,False
196,信義玻璃,ESR,0.9270164173544586,玻璃股,投資及資產管理,False
197,信義光能,康龍化成,0.9269362560418095,光伏太陽能,生物科技,False
198,創科實業,藥明康德,0.9268928179069188,機械設備,醫療保健,False
199,藥明生物,創科實業,0.9268267578568083,生物科技,機械設備,False
200,小米集團-W,ESR,0.9268214023410187,電訊設備,投資及資產管理,False
201,創科實業,蒙牛乳業,0.926387922028076,機械設備,乳品相關,False
202,美蘭空港,心動公司,0.9263825648806263,航空服務,科技軟件,False
203,美團點評-W,恒騰網絡,0.9261541220984918,電子商貿及互聯網,光伏太陽能,False
204,贛鋒鋰業,敏華控股,0.9260688364423816,有色金屬及礦石,家品,False
205,美團點評-W,香港電視,0.9259747893989684,電子商貿及互聯網,影視娛樂,False
206,福耀玻璃,敏華控股,0.9259481353605654,汽車零部件及維護,家品,False
207,中信建投証券,美蘭空港,0.9259286768784931,其他金融服務,航空服務,False
208,中國有贊,敏華控股,0.9259122265565771,電子商貿及互聯網,家品,False
209,福萊特玻璃,敏華控股,0.9256396817717454,玻璃股,家品,False
210,吉利汽車,敏華控股,0.9255640320413874,汽車,家品,False
211,信義玻璃,海底撈,0.9253662489929345,玻璃股,餐飲,False
212,中國有贊,金山軟件,0.9251652126390206,電子商貿及互聯網,科技軟件,False
213,遠大住工,美蘭空港,0.9250768381422984,機械設備,航空服務,False
214,恒騰網絡,美東汽車,0.9247601104971732,光伏太陽能,汽車銷售,False
215,中升控股,恒騰網絡,0.9246857416215116,汽車銷售,光伏太陽能,False
216,微創醫療,威高股份,0.9245942271134435,醫療保健,醫療保健,True
217,海底撈,美東汽車,0.9244435151881909,餐飲,汽車銷售,False
218,蒙牛乳業,美團點評-W,0.9239711390058104,乳品相關,電子商貿及互聯網,False
219,信義玻璃,玖龍紙業,0.9238791744297937,玻璃股,紙業股,False
220,美團點評-W,青島啤酒,0.9237559189481305,電子商貿及互聯網,酒類飲品,False
221,中國有贊,藥明生物,0.9237220689142192,電子商貿及互聯網,生物科技,False
222,長和,中石化,0.9237006391766583,綜合企業,石油及天然氣,False
223,眾安在綫,中信建投証券,0.9236594835231419,內地保險,其他金融服務,False
224,贛鋒鋰業,華潤啤酒,0.9236257479687832,有色金屬及礦石,超市股,False
225,安踏體育,長城汽車,0.9234201659215991,體育用品,汽車,False
226,蒙牛乳業,青島啤酒,0.9230696450205749,乳品相關,酒類飲品,False
227,紫金礦業,華潤啤酒,0.9229690910293895,貴金屬,超市股,False
228,領展房產基金,長和,0.9229227910505161,房託,綜合企業,False
229,紫金礦業,華寶國際,0.9225940787657959,貴金屬,食物飲品生產及批發,False
230,創科實業,信義光能,0.9225511673131112,機械設備,光伏太陽能,False
231,敏華控股,香港交易所,0.9224991890897457,家品,其他金融服務,False
232,中航科工,香港交易所,0.922497806847437,衛星航天股,其他金融服務,False
233,金山軟件,康龍化成,0.9224490298392424,科技軟件,生物科技,False
234,信達生物,微盟集團,0.9224285870188023,醫藥股,廣告,False
235,安踏體育,吉利汽車,0.9222816518224126,體育用品,汽車,False
236,長城汽車,福耀玻璃,0.921913923672826,汽車,汽車零部件及維護,False
237,安踏體育,信義玻璃,0.9218143817501557,體育用品,玻璃股,False
238,藥明康德,蒙牛乳業,0.9216997150057632,醫療保健,乳品相關,False
239,閱文集團,恒騰網絡,0.9216743105786446,電子商貿及互聯網,光伏太陽能,False
240,比亞迪電子,小米集團-W,0.921526499636239,手機相關,電訊設備,False
241,華虹半導體,蒙牛乳業,0.9213449731905942,半導體,乳品相關,False
242,信義玻璃,香港電視,0.921332072459615,玻璃股,影視娛樂,False
243,香港電視,小米集團-W,0.9211953752031398,影視娛樂,電訊設備,False
244,滙豐控股,長和,0.9211771288903585,銀行,綜合企業,False
245,閱文集團,信達生物,0.9211093818159692,電子商貿及互聯網,醫藥股,False
246,創科實業,ESR,0.9210466993611235,機械設備,投資及資產管理,False
247,海底撈,藥明生物,0.9209320854751791,餐飲,生物科技,False
248,蒙牛乳業,中國軟件國際,0.9209174169428421,乳品相關,科技軟件,False
249,比亞迪電子,ESR,0.9208237057866415,手機相關,投資及資產管理,False
250,創科實業,香港電視,0.9207985278266763,機械設備,影視娛樂,False
251,海底撈,ESR,0.9207256076133189,餐飲,投資及資產管理,False
252,蒙牛乳業,華寶國際,0.9206720358753309,乳品相關,食物飲品生產及批發,False
253,國藥控股,北京控股,0.9206003503745298,醫藥股,燃氣公用,False
254,頤海國際,遠大住工,0.9204546165971941,食物飲品生產及批發,機械設備,False
255,中信建投証券,維亞生物,0.9204091136001036,其他金融服務,生物科技,False
256,敏華控股,青島啤酒,0.9203617166229461,家品,酒類飲品,False
257,永達汽車,敏華控股,0.9202312913099615,汽車銷售,家品,False
258,金蝶國際,信義光能,0.9201796680154068,科技軟件,光伏太陽能,False
259,威高股份,微盟集團,0.920165347337856,醫療保健,廣告,False
260,李寧,申洲國際,0.9201561995448283,體育用品,紡織製衣,False
261,北京控股,中國石油股份,0.9200548499235639,燃氣公用,石油及天然氣,False
262,康龍化成,小米集團-W,0.9200011640989697,生物科技,電訊設備,False
263,蒙牛乳業,李寧,0.9197585690265979,乳品相關,體育用品,False
264,李寧,福耀玻璃,0.9196774417762676,體育用品,汽車零部件及維護,False
265,威高股份,中信建投証券,0.9194520526010973,醫療保健,其他金融服務,False
266,中信建投証券,金山軟件,0.9194098833557862,其他金融服務,科技軟件,False
267,中升控股,中國有贊,0.9193987093734717,汽車銷售,電子商貿及互聯網,False
268,比亞迪電子,福萊特玻璃,0.9192517036851745,手機相關,玻璃股,False
269,中國有贊,青島啤酒,0.9192222492873061,電子商貿及互聯網,酒類飲品,False
270,申洲國際,福耀玻璃,0.9191415987811643,紡織製衣,汽車零部件及維護,False
271,頤海國際,微盟集團,0.9190687148871787,食物飲品生產及批發,廣告,False
272,福耀玻璃,玖龍紙業,0.9189967246645149,汽車零部件及維護,紙業股,False
273,中信建投証券,香港交易所,0.9189005625493962,其他金融服務,其他金融服務,True
274,小米集團-W,創科實業,0.9188885365494052,電訊設備,機械設備,False
275,紫金礦業,永達汽車,0.918856581661356,貴金屬,汽車銷售,False
276,永利澳門,中國石油股份,0.9188412381910344,澳門博彩,石油及天然氣,False
277,香港交易所,美蘭空港,0.9186062535973729,其他金融服務,航空服務,False
278,藥明生物,香港電視,0.9185445542389944,生物科技,影視娛樂,False
279,金山軟件,碧桂園服務,0.9185015496211046,科技軟件,物業管理及代理,False
280,微盟集團,中信建投証券,0.918348515722447,廣告,其他金融服務,False
281,滙豐控股,北京控股,0.9182820339654229,銀行,燃氣公用,False
282,中金公司,中信証券,0.9181252763190483,證券及融資,中資證券及融資,False
283,玖龍紙業,申洲國際,0.9180443344432336,紙業股,紡織製衣,False
