fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency
AAAAX,DWS RREEF Real Assets Fund - Class A,World Allocation,DWS,530280000,12.79,1.43,3,29/7/2007,Blend,Large,USD
AAADX,Aberdeen Income Builder Fund Class A,Large Blend,Aberdeen,88840000,9.21,2.62,2,29/12/2011,Blend,Large,USD
AAAGX,Thrivent Large Cap Growth Fund Class A,Large Growth,Thrivent Funds,1080000000,16,0,3,28/10/1999,Growth,Large,USD
AAAIX,American Century Strategic Allocation: Aggressive Fund I Class,Allocation - 70% to 85% Equity,American Century Investments,785270000,11.57,1.38,4,31/7/2000,Growth,Large,USD
AAANX,Horizon Active Asset Allocation Fund Investor Class,Tactical Allocation,Horizon Investments,527130000,11.62,0.66,4,30/1/2012,Blend,Large,USD
AAAPX,DWS RREEF Real Assets Fund - Class C,World Allocation,DWS,530280000,12.53,0.74,2,29/7/2007,Blend,Large,USD
AAAQX,DWS RREEF Real Assets Fund - Class R,World Allocation,DWS,530280000,12.71,1.2,3,31/5/2011,Blend,Large,USD
AAARX,American Century Strategic Allocation: Aggressive Fund R Class,Allocation - 70% to 85% Equity,American Century Investments,785270000,11.39,0.72,3,30/3/2005,Growth,Large,USD
AAASX,DWS RREEF Real Assets Fund - Class S,World Allocation,DWS,530280000,12.78,1.57,3,29/7/2007,Blend,Large,USD
AAATX,American Funds 2010 Target Date Retirement Fund Class A,Target-Date 2000-2010,American Funds,3200000000,5.97,1.93,4,31/1/2007,Blend,Large,USD
AAAUX,American Century Strategic Allocation: Aggressive Fund R6 Class,Allocation - 70% to 85% Equity,American Century Investments,785270000,11.61,1.52,4,25/7/2013,Growth,Large,USD
AAAVX,DWS RREEF Real Assets Fund - Class R6,World Allocation,DWS,530280000,12.78,1.68,4,27/11/2014,Blend,Large,USD
AAAWX,DWS RREEF Real Assets Fund - Class T,World Allocation,DWS,530280000,12.79,1.43,3,4/6/2017,Blend,Large,USD
AAAZX,DWS RREEF Real Assets Fund - Class Inst,World Allocation,DWS,530280000,12.78,1.68,3,29/7/2007,Blend,Large,USD
AABAX,Cavanal Hill Active Core Fund Class A,Allocation - 50% to 70% Equity,Cavanal Hill funds,47010000,8.32,1.14,3,1/5/2011,Blend,Large,USD
AABCX,Putnam Dynamic Asset Allocation Balanced Fund Class C,Allocation - 50% to 70% Equity,Putnam,2700000000,8.99,1.01,3,31/8/1994,Blend,Large,USD
AABFX,Thrivent Balanced Income Plus Fund Class A,Allocation - 30% to 50% Equity,Thrivent Funds,374750000,8.02,2.79,5,28/12/1997,Blend,Large,USD
AABOX,Cavanal Hill Bond Fund Class A,Intermediate-Term Bond,Cavanal Hill funds,106150000,2.4,2.19,2,1/5/2011,Blend,Medium,USD
AABPX,American Beacon Balanced Fund Investor Class,Allocation - 50% to 70% Equity,American Beacon,277940000,10.16,1.36,3,31/7/1994,Value,Large,USD
AABTX,American Funds 2015 Target Date Retirement Fund Class A,Target-Date 2015,American Funds,5010000000,6.31,1.89,4,31/1/2007,Blend,Large,USD
AABUX,AllianzGI Best Styles U.S. Equity Fund Class A,Large Blend,Allianz Funds,94790000,12.28,2.05,3,25/4/2016,Blend,Large,USD
AACBX,Cavanal Hill Active Core Fund Class C,Allocation - 50% to 70% Equity,Cavanal Hill funds,47010000,8.14,0.59,2,30/12/2014,Blend,Large,USD
AACCX,American Century Strategic Allocation: Conservative Fund C Class,Allocation - 30% to 50% Equity,American Century Investments,437900000,7.13,0.78,2,29/9/2004,Blend,Large,USD
AACDX,American Century Strategic Allocation: Conservative Fund R6 Class,Allocation - 30% to 50% Equity,American Century Investments,437900000,7.68,2.02,4,25/7/2013,Blend,Large,USD
AACFX,Invesco Greater China Fund Class A,China Region,Invesco,85650000,14.9,0.77,3,30/3/2006,Blend,Large,USD
AACGX,American Century Strategic Allocation: Conservative Fund R5 Class,Allocation - 30% to 50% Equity,American Century Investments,437900000,7.43,1.87,3,9/4/2017,Blend,Large,USD
AACIX,American Beacon Mid-Cap Value Fund Institutional Class,Mid-Cap Value,American Beacon,571500000,13.82,1.4,3,29/11/2005,Value,Medium,USD
AACOX,Cavanal Hill Opportunistic Fund Class C,Allocation - 70% to 85% Equity,Cavanal Hill funds,40570000,10.66,0.37,1,30/12/2014,Growth,Medium,USD
AACRX,American Century Strategic Allocation: Conservative Fund R Class,Allocation - 30% to 50% Equity,American Century Investments,437900000,7.3,1.21,2,30/3/2005,Blend,Large,USD
AACTX,American Funds 2020 Target Date Retirement Fund Class A,Target-Date 2020,American Funds,14830000000,6.76,1.64,4,31/1/2007,Blend,Large,USD
AACYX,Alger Mid Cap Focus C,Mid-Cap Growth,Alger,9480000,14.8,0,1,23/9/2008,Growth,Medium,USD
AADAX,Invesco Growth Allocation Fund Class A,Allocation - 70% to 85% Equity,Invesco,976520000,10.37,1.24,2,29/4/2004,Blend,Large,USD
AADBX,American Beacon Balanced Fund Institutional Class,Allocation - 50% to 70% Equity,American Beacon,277940000,10.22,1.43,4,16/7/1987,Value,Large,USD
AADCX,Invesco Growth Allocation Fund Class C,Allocation - 70% to 85% Equity,Invesco,976520000,10.17,0.46,2,29/4/2004,Blend,Large,USD
AADDX,Aberdeen Income Builder Fund Institutional Class,Large Blend,Aberdeen,88840000,9.28,2.89,2,4/11/2008,Blend,Large,USD
AADEX,American Beacon Large Cap Value Fund Institutional Class,Large Value,American Beacon,5800000000,13.52,1.94,3,16/7/1987,Value,Large,USD
AADGX,Aasgard Dividend Growth Small & Mid-Cap Fund No Load Class,Mid-Cap Blend,Aasgard,55040000,10.56,0.9,0,31/3/2016,Blend,Medium,USD
AADIX,Invesco Growth Allocation Fund R5 Class,Allocation - 70% to 85% Equity,Invesco,976520000,10.47,1.57,3,29/4/2004,Blend,Large,USD
AADRX,Invesco Growth Allocation Fund Class R,Allocation - 70% to 85% Equity,Invesco,976520000,10.32,0.98,2,29/4/2004,Blend,Large,USD
AADSX,Invesco Growth Allocation Fund Class S,Allocation - 70% to 85% Equity,Invesco,976520000,10.38,1.35,2,24/9/2009,Blend,Large,USD
AADTX,American Funds 2025 Target Date Retirement Fund Class A,Target-Date 2025,American Funds,19670000000,7.72,1.33,5,31/1/2007,Blend,Large,USD
AADYX,Invesco Growth Allocation Fund Class Y,Allocation - 70% to 85% Equity,Invesco,976520000,10.47,1.51,3,2/10/2008,Blend,Large,USD
